id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<ALL>	weight<MPI>	weight<NIH>	weight<CNRS>	weight<NST>	weight<FH>	weight<AIST>	weight<RIKEN>
Accounting	-0.2096	0.0998	1	21	268	59	27	1	21	3	7	0	0
Acoustics and Ultrasonics	-0.3754	-0.0581	1	55	6222	2127	166	32	741	411	489	252	36
Advanced and Specialized Nursing	0.6195	-0.1043	2	27	2532	626	41	517	17	25	14	1	11
Aerospace Engineering	-0.9983	0.1524	1	61	7222	1746	171	8	402	803	280	43	39
Aging	0.5799	0.0134	2	33	5736	1347	238	902	129	40	13	11	14
Agricultural and Biological Sciences	0.2228	0.2974	3	73	39242	12843	3540	3951	3229	604	291	308	920
Agricultural and Biological Sciences (miscellaneous)	-0.3401	0.2123	1	62	1466	431	154	48	177	20	8	11	13
Agronomy and Crop Science	0.8206	0.5976	3	50	6660	1739	408	54	428	409	134	82	224
Algebra and Number Theory	-0.3623	-0.0886	1	29	1302	528	275	4	199	7	31	8	4
Analysis	-0.1042	-0.0673	1	33	2580	740	337	15	324	24	32	0	8
Analytical Chemistry	-0.2485	-0.4468	6	63	30192	5327	617	723	902	1766	308	598	413
Anatomy	0.6652	-0.1386	2	26	5122	961	375	327	156	24	27	15	37
Anesthesiology and Pain Medicine	0.5068	-0.0999	2	25	1404	522	30	311	93	51	31	1	5
Animal Science and Zoology	1.2286	0.6496	3	61	9112	2898	1128	264	1036	238	40	40	152
Anthropology	0.013	0.0758	1	66	3454	1102	576	65	425	35	0	1	0
Applied Mathematics	-0.5586	-0.1458	1	101	62546	9535	2374	575	2128	1088	2461	479	430
Applied Microbiology and Biotechnology	0.5874	0.3109	3	50	17968	3739	519	324	450	1488	194	440	324
Applied Psychology	-0.0521	0.0704	1	57	2928	794	259	378	78	32	35	4	8
Aquatic Science	-0.9674	0.9839	7	50	33286	2949	857	27	1573	282	33	110	67
Archeology	-0.1726	0.1263	1	34	4382	1056	329	1	691	14	6	14	1
Archeology (arts and humanities)	-0.1951	0.1286	1	41	4934	1113	333	3	712	32	10	22	1
Architecture	-0.4578	0.1464	1	38	1666	269	7	0	33	94	128	7	0
Artificial Intelligence	-0.371	-0.0764	1	101	27306	5824	829	146	1210	1566	1060	651	362
Arts and Humanities	-0.092	0.0878	1	36	1784	1207	393	83	700	5	18	3	5
Arts and Humanities (miscellaneous)	0.0137	0.0461	1	90	7286	1733	656	305	554	62	46	59	51
Assessment and Diagnosis	0.5428	-0.0722	2	10	46	7	0	4	2	1	0	0	0
Astronomy and Astrophysics	-2.0792	1.0525	7	37	40132	19410	14153	3	3175	1345	104	49	581
Atmospheric Science	-1.1821	0.897	7	53	30252	4095	2385	8	1124	295	49	94	140
"Atomic and Molecular Physics, and Optics"	-1.1727	-0.4384	5	77	45580	15570	5161	373	2261	2447	2534	1251	1543
Automotive Engineering	-0.5988	0.1188	1	59	6870	1309	31	2	151	475	558	78	14
Behavioral Neuroscience	0.5725	0.013	2	57	10572	2395	867	839	471	43	26	31	118
Biochemistry	0.3076	-0.5383	6	121	144942	26613	5115	7968	4910	3592	632	1698	2698
Biochemistry (medical)	0.9769	-0.3552	6	41	6794	1071	61	776	101	64	22	20	27
"Biochemistry, Genetics and Molecular Biology"	0.4407	0.1338	3	85	67066	22964	6222	7855	4757	1111	448	597	1974
"Biochemistry, Genetics and Molecular Biology (miscellaneous)"	0.0598	-0.0661	2	37	1666	364	80	78	43	94	14	26	29
Bioengineering	-0.5801	-0.4052	4	77	46648	6802	1284	566	928	2374	530	661	459
Biological Psychiatry	0.7766	-0.0494	2	25	8164	1933	605	945	260	24	14	4	81
Biomaterials	-0.8124	-0.5985	4	71	26698	4007	826	507	555	977	549	373	220
Biomedical Engineering	0.2468	-0.2722	2	121	34876	6418	844	1077	908	1727	853	583	426
Biophysics	0.2398	-0.5557	6	69	33262	6252	1283	1416	1251	966	203	430	703
Biotechnology	0.2339	0.0955	3	126	46648	8875	1800	1238	1305	2451	551	780	750
Building and Construction	-0.6011	0.161	1	60	7320	1324	20	13	151	619	445	73	3
Business and International Management	-0.2195	0.0935	1	53	2198	424	85	10	96	55	169	8	1
"Business, Management and Accounting"	-0.189	0.0918	1	43	2078	734	252	35	218	30	183	10	6
"Business, Management and Accounting (miscellaneous)"	-0.2445	0.098	1	29	304	87	30	3	11	7	35	1	0
Cancer Research	1.1032	-0.149	2	50	35864	10143	628	7419	995	560	88	89	364
Cardiology and Cardiovascular Medicine	0.654	-0.0832	2	55	8710	3789	335	2845	321	81	82	36	89
Care Planning	0.5309	-0.0717	2	5	38	6	0	5	0	0	1	0	0
Catalysis	-1.8686	-0.8758	4	39	38408	7410	2331	296	1691	1302	212	937	641
Cell Biology	1.1487	-0.176	2	82	81584	19871	4190	7717	3468	1190	318	681	2307
Cellular and Molecular Neuroscience	0.7926	-0.1479	2	49	24886	5600	1221	2452	1064	258	73	65	467
Ceramics and Composites	-1.5763	-0.5173	4	48	37764	5864	776	88	820	2157	936	882	205
Chemical Engineering	-1.0998	-0.2369	4	84	38200	10078	1482	249	1734	4066	1074	1182	291
Chemical Engineering (miscellaneous)	-0.6788	-0.1387	1	27	1194	342	32	5	50	94	24	111	26
Chemical Health and Safety	-0.2376	0.0269	1	16	628	120	24	31	13	16	10	24	2
